epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,84574.7,0.56135,0.32508,0.80266,0.96676,0.91658,0.94271,0.82478,0.40603,0.20744,0.78087,0.005842,0.005842,0.005842
44,86756.6,0.55936,0.32339,0.80268,0.96826,0.9156,0.94162,0.82496,0.40476,0.20688,0.78077,0.005743,0.005743,0.005743
45,88022.1,0.55703,0.32155,0.80218,0.96876,0.91611,0.94294,0.82611,0.40351,0.20601,0.78059,0.005644,0.005644,0.005644
46,89209.7,0.55462,0.32038,0.8018,0.9687,0.91704,0.94313,0.82707,0.40197,0.20539,0.78044,0.005545,0.005545,0.005545
47,90398.6,0.55347,0.3196,0.80147,0.97101,0.91762,0.9445,0.82774,0.40025,0.20408,0.78033,0.005446,0.005446,0.005446
48,91586.2,0.55098,0.31764,0.80133,0.96926,0.91883,0.94482,0.82836,0.39821,0.20343,0.78011,0.005347,0.005347,0.005347
49,92773.9,0.54989,0.3175,0.80154,0.97015,0.91896,0.94489,0.82934,0.3965,0.20249,0.77989,0.005248,0.005248,0.005248
50,93961.4,0.54643,0.31494,0.80095,0.97098,0.91839,0.94519,0.82991,0.39561,0.20202,0.77974,0.005149,0.005149,0.005149
51,95149.2,0.54426,0.31318,0.80018,0.97027,0.91902,0.94531,0.83013,0.39457,0.20118,0.77955,0.00505,0.00505,0.00505
52,96337.5,0.54211,0.31133,0.80033,0.96951,0.91861,0.94454,0.83047,0.39384,0.20103,0.77943,0.004951,0.004951,0.004951
53,97524.3,0.53994,0.3102,0.79997,0.97156,0.91711,0.94412,0.83039,0.3934,0.20045,0.77932,0.004852,0.004852,0.004852
54,98714.2,0.53712,0.30826,0.7995,0.97208,0.91717,0.94473,0.83136,0.3919,0.19975,0.77913,0.004753,0.004753,0.004753
55,100084,0.5367,0.30812,0.79962,0.97178,0.91761,0.9449,0.83204,0.39041,0.19903,0.77896,0.004654,0.004654,0.004654
