epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,63011.3,0.68997,0.39482,0.79688,0.97551,0.94848,0.958,0.81548,0.46992,0.25104,0.7779,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,64874.1,0.68604,0.39238,0.79647,0.9763,0.94713,0.95796,0.816,0.46833,0.2498,0.77775,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,66750.9,0.68337,0.39067,0.79617,0.9766,0.94741,0.95834,0.81605,0.46761,0.24867,0.77752,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,68627.9,0.68259,0.38989,0.79581,0.97641,0.9488,0.95918,0.81624,0.46675,0.24758,0.77733,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,70508.2,0.67977,0.38791,0.79586,0.97519,0.94873,0.9595,0.81688,0.46584,0.24679,0.77729,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,72387.8,0.67783,0.38639,0.79548,0.97343,0.9503,0.95905,0.81754,0.46413,0.2456,0.77702,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,74263,0.6752,0.38494,0.79541,0.97331,0.95115,0.95961,0.81821,0.4625,0.24445,0.77686,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,76139.4,0.67348,0.38371,0.7951,0.97554,0.94984,0.95983,0.8186,0.46203,0.24392,0.77671,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,78013.7,0.67178,0.38221,0.79475,0.97581,0.95019,0.95984,0.81866,0.46114,0.24353,0.77667,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,79887.9,0.67078,0.38176,0.7946,0.97629,0.95064,0.95989,0.81944,0.45973,0.24255,0.7765,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,81768.2,0.66723,0.37909,0.79458,0.97552,0.95122,0.96008,0.82031,0.45713,0.24107,0.77631,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,83647,0.66636,0.37805,0.79449,0.97539,0.95033,0.95987,0.82046,0.45696,0.24027,0.77615,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,85522.6,0.66263,0.37582,0.79405,0.97594,0.95137,0.96071,0.82083,0.45579,0.23922,0.77601,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,87399.2,0.66113,0.37445,0.79315,0.97594,0.95185,0.96078,0.82158,0.45426,0.23837,0.77588,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,89275.6,0.65931,0.37263,0.79373,0.97636,0.95182,0.96123,0.82208,0.45414,0.2376,0.77586,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,91154.7,0.65595,0.37092,0.79332,0.97703,0.95244,0.9613,0.82313,0.45248,0.23659,0.77566,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,93036.8,0.65439,0.3698,0.79294,0.97727,0.95247,0.96132,0.82373,0.45133,0.23589,0.77557,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,94918.4,0.65348,0.36923,0.79305,0.97653,0.95288,0.96107,0.82333,0.45068,0.23515,0.77538,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,96798.5,0.6499,0.36673,0.79252,0.97757,0.95247,0.96125,0.82364,0.44969,0.23451,0.7752,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,98678.8,0.64783,0.36534,0.792,0.97839,0.95243,0.96198,0.82446,0.44832,0.23389,0.77509,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,100560,0.64624,0.36373,0.79203,0.97714,0.95277,0.96262,0.82464,0.44726,0.23329,0.77495,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,102444,0.6442,0.36239,0.79165,0.97665,0.95376,0.96284,0.82468,0.44647,0.23287,0.77483,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,104326,0.64221,0.36172,0.79168,0.97725,0.95455,0.96284,0.82556,0.44465,0.23211,0.7747,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,106207,0.63996,0.35994,0.79144,0.97654,0.95403,0.96234,0.82658,0.44241,0.23113,0.77453,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,108087,0.63855,0.35859,0.79134,0.97746,0.9527,0.96265,0.82736,0.44166,0.2306,0.77432,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,109949,0.63481,0.35578,0.79025,0.97858,0.95181,0.96294,0.828,0.4403,0.22986,0.77413,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,111831,0.6323,0.35548,0.79008,0.97871,0.95329,0.96345,0.82813,0.43868,0.22882,0.77399,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,113710,0.62924,0.35295,0.7897,0.97616,0.95563,0.96419,0.8291,0.43753,0.22796,0.77387,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,115591,0.62925,0.35244,0.78957,0.97782,0.95484,0.9641,0.8296,0.43694,0.22734,0.77368,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,117470,0.62556,0.35003,0.78931,0.97792,0.95481,0.96426,0.83039,0.43595,0.22679,0.77364,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,119349,0.62376,0.34858,0.78952,0.97742,0.95526,0.96447,0.83057,0.43477,0.22613,0.77343,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,121228,0.62132,0.34692,0.78872,0.9768,0.95626,0.96483,0.83173,0.43362,0.226,0.77318,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,123102,0.61922,0.34559,0.78915,0.97605,0.95762,0.96517,0.83198,0.43317,0.2255,0.77306,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,124971,0.61809,0.34382,0.78844,0.97598,0.95831,0.96535,0.8323,0.43278,0.22465,0.773,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,126846,0.61294,0.34137,0.78809,0.97943,0.95705,0.96536,0.8327,0.43176,0.22389,0.77294,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,128721,0.61212,0.34038,0.78781,0.97931,0.95609,0.96489,0.83269,0.43041,0.22311,0.77278,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,130596,0.61036,0.33932,0.78739,0.98023,0.95623,0.96556,0.83281,0.42971,0.22263,0.77262,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,132470,0.60643,0.33635,0.7873,0.97786,0.95829,0.96579,0.83328,0.42848,0.22182,0.77238,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,134346,0.60445,0.33515,0.78688,0.97854,0.95754,0.9659,0.83437,0.42677,0.22128,0.77221,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,136221,0.60137,0.33299,0.78657,0.9803,0.95726,0.9662,0.83502,0.42569,0.22078,0.77209,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,138095,0.60007,0.33182,0.78667,0.97986,0.95748,0.96635,0.83528,0.42414,0.2208,0.77186,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,140540,0.59631,0.3302,0.78606,0.9803,0.95726,0.96642,0.83585,0.42224,0.21958,0.77165,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,142415,0.59359,0.32733,0.78578,0.97922,0.95897,0.96687,0.83659,0.42032,0.21843,0.77149,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,144286,0.59156,0.32528,0.78556,0.97953,0.95899,0.96668,0.83717,0.41933,0.21761,0.77149,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,146155,0.58898,0.32367,0.78501,0.97958,0.95918,0.96669,0.8381,0.41747,0.21677,0.77139,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,148027,0.58534,0.32189,0.78522,0.97877,0.96021,0.96693,0.83918,0.41541,0.21594,0.77118,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,149905,0.58289,0.31954,0.78451,0.9806,0.95932,0.96746,0.83938,0.41363,0.21519,0.77104,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,151774,0.57901,0.31719,0.78395,0.97903,0.96038,0.96767,0.83972,0.41313,0.21435,0.77087,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,153644,0.57607,0.31456,0.78431,0.97978,0.95994,0.96775,0.84082,0.41147,0.21358,0.77082,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,155516,0.57233,0.31279,0.78345,0.98096,0.95998,0.96786,0.84093,0.41072,0.21303,0.77067,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,157386,0.56934,0.31101,0.78306,0.98117,0.96031,0.96823,0.84152,0.40984,0.21228,0.77057,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,159257,0.56535,0.30789,0.78274,0.98097,0.96022,0.96806,0.84275,0.40853,0.21129,0.77047,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
